# base_algorithm,wood
# population_size,25
# initial_mutation_rate,0.2
# max_iterations,300
# output_size,128
# generations_completed,300
# total_evaluations,7500
# runtime_s,231.473
# final_best_fitness,0.912175
generation,cumulative_evaluations,elapsed_ms,elapsed_s,best_fitness,best_ever_fitness,mean_fitness,worst_fitness,std_fitness,mutation_rate,best_comp_mean,best_comp_variance,best_comp_gradient_dir,best_comp_edge_density,best_comp_histogram
160,4000,123423.00,123.4230,0.912175,0.912175,0.891839,0.852721,0.011852,0.500000,0.957731,0.997479,0.999328,0.741943,0.804932
161,4025,124195.00,124.1950,0.912175,0.912175,0.894304,0.867146,0.011887,0.500000,0.957731,0.997479,0.999328,0.741943,0.804932
162,4050,124966.00,124.9660,0.912175,0.912175,0.888576,0.855551,0.014814,0.500000,0.957731,0.997479,0.999328,0.741943,0.804932
163,4075,125728.00,125.7280,0.912175,0.912175,0.896042,0.862462,0.012464,0.500000,0.957731,0.997479,0.999328,0.741943,0.804932
164,4100,126503.00,126.5030,0.912175,0.912175,0.894933,0.846073,0.016153,0.500000,0.957731,0.997479,0.999328,0.741943,0.804932
165,4125,127272.00,127.2720,0.912175,0.912175,0.895600,0.865785,0.013282,0.500000,0.957731,0.997479,0.999328,0.741943,0.804932
166,4150,128032.00,128.0320,0.912175,0.912175,0.892069,0.855167,0.015450,0.500000,0.957731,0.997479,0.999328,0.741943,0.804932
167,4175,128837.00,128.8370,0.912175,0.912175,0.896007,0.855177,0.012476,0.500000,0.957731,0.997479,0.999328,0.741943,0.804932
168,4200,129601.00,129.6010,0.912175,0.912175,0.890966,0.850847,0.015557,0.500000,0.957731,0.997479,0.999328,0.741943,0.804932
169,4225,130359.00,130.3590,0.912175,0.912175,0.888205,0.844095,0.018210,0.500000,0.957731,0.997479,0.999328,0.741943,0.804932
170,4250,131122.00,131.1220,0.912175,0.912175,0.891034,0.859693,0.015173,0.500000,0.957731,0.997479,0.999328,0.741943,0.804932
171,4275,131902.00,131.9020,0.912175,0.912175,0.895038,0.841675,0.015572,0.500000,0.957731,0.997479,0.999328,0.741943,0.804932
172,4300,132669.00,132.6690,0.912175,0.912175,0.892207,0.861806,0.014479,0.500000,0.957731,0.997479,0.999328,0.741943,0.804932
173,4325,133437.00,133.4370,0.912175,0.912175,0.894642,0.855354,0.015046,0.500000,0.957731,0.997479,0.999328,0.741943,0.804932
174,4350,134205.00,134.2050,0.912175,0.912175,0.896831,0.862034,0.012419,0.500000,0.957731,0.997479,0.999328,0.741943,0.804932
175,4375,134972.00,134.9720,0.912175,0.912175,0.896131,0.855346,0.012545,0.500000,0.957731,0.997479,0.999328,0.741943,0.804932
176,4400,135745.00,135.7450,0.912175,0.912175,0.895050,0.863756,0.011024,0.500000,0.957731,0.997479,0.999328,0.741943,0.804932
177,4425,136511.00,136.5110,0.912175,0.912175,0.892239,0.840222,0.016653,0.500000,0.957731,0.997479,0.999328,0.741943,0.804932
178,4450,137308.00,137.3080,0.912175,0.912175,0.891397,0.860833,0.013756,0.500000,0.957731,0.997479,0.999328,0.741943,0.804932
179,4475,138068.00,138.0680,0.912175,0.912175,0.893232,0.860571,0.011874,0.500000,0.957731,0.997479,0.999328,0.741943,0.804932
180,4500,138829.00,138.8290,0.912175,0.912175,0.892601,0.876963,0.009894,0.500000,0.957731,0.997479,0.999328,0.741943,0.804932
181,4525,139614.00,139.6140,0.912175,0.912175,0.895521,0.855319,0.013990,0.500000,0.957731,0.997479,0.999328,0.741943,0.804932
182,4550,140380.00,140.3800,0.912175,0.912175,0.895427,0.867292,0.011170,0.500000,0.957731,0.997479,0.999328,0.741943,0.804932
183,4575,141143.00,141.1430,0.912175,0.912175,0.890296,0.859141,0.016565,0.500000,0.957731,0.997479,0.999328,0.741943,0.804932
184,4600,141899.00,141.8990,0.912175,0.912175,0.893951,0.873400,0.011054,0.500000,0.957731,0.997479,0.999328,0.741943,0.804932
185,4625,142660.00,142.6600,0.912175,0.912175,0.892246,0.862246,0.012314,0.500000,0.957731,0.997479,0.999328,0.741943,0.804932
