# base_algorithm,wood
# population_size,15
# initial_mutation_rate,0.05
# max_iterations,150
# output_size,128
# generations_completed,150
# total_evaluations,2250
# runtime_s,71.024
# final_best_fitness,0.913545
generation,cumulative_evaluations,elapsed_ms,elapsed_s,best_fitness,best_ever_fitness,mean_fitness,worst_fitness,std_fitness,mutation_rate,best_comp_mean,best_comp_variance,best_comp_gradient_dir,best_comp_edge_density,best_comp_histogram
90,1350,42404.00,42.4040,0.873625,0.873625,0.870177,0.853582,0.005178,0.066550,0.965055,0.996302,0.999657,0.544006,0.804932
91,1365,42878.00,42.8780,0.873625,0.873625,0.872388,0.866813,0.001919,0.066550,0.965055,0.996302,0.999657,0.544006,0.804932
92,1380,43348.00,43.3480,0.873625,0.873625,0.870045,0.851529,0.005735,0.066550,0.965055,0.996302,0.999657,0.544006,0.804932
93,1395,43821.00,43.8210,0.873625,0.873625,0.871378,0.850481,0.005785,0.066550,0.965055,0.996302,0.999657,0.544006,0.804932
94,1410,44290.00,44.2900,0.873625,0.873625,0.871769,0.859294,0.003669,0.066550,0.965055,0.996302,0.999657,0.544006,0.804932
95,1425,44761.00,44.7610,0.873625,0.873625,0.870597,0.853024,0.005593,0.066550,0.965055,0.996302,0.999657,0.544006,0.804932
96,1440,45235.00,45.2350,0.873625,0.873625,0.871010,0.851429,0.005614,0.066550,0.965055,0.996302,0.999657,0.544006,0.804932
97,1455,45713.00,45.7130,0.873709,0.873709,0.873022,0.870387,0.001100,0.066550,0.965064,0.996305,0.999823,0.544128,0.804932
98,1470,46190.00,46.1900,0.873757,0.873757,0.872317,0.868635,0.001868,0.066550,0.965060,0.996303,0.999962,0.544128,0.804932
99,1485,46659.00,46.6590,0.873757,0.873757,0.870529,0.860063,0.004470,0.066550,0.965060,0.996303,0.999962,0.544128,0.804932
100,1500,47128.00,47.1280,0.873757,0.873757,0.868266,0.851000,0.008000,0.066550,0.965060,0.996303,0.999962,0.544128,0.804932
101,1515,47593.00,47.5930,0.873757,0.873757,0.871776,0.856252,0.004813,0.066550,0.965060,0.996303,0.999962,0.544128,0.804932
102,1530,48066.00,48.0660,0.873757,0.873757,0.871212,0.856350,0.004432,0.066550,0.965060,0.996303,0.999962,0.544128,0.804932
103,1545,48531.00,48.5310,0.873757,0.873757,0.872247,0.863589,0.002823,0.066550,0.965060,0.996303,0.999962,0.544128,0.804932
104,1560,49003.00,49.0030,0.873757,0.873757,0.870310,0.858190,0.005228,0.066550,0.965060,0.996303,0.999962,0.544128,0.804932
105,1575,49473.00,49.4730,0.873757,0.873757,0.873342,0.870171,0.000914,0.066550,0.965060,0.996303,0.999962,0.544128,0.804932
106,1590,49941.00,49.9410,0.873757,0.873757,0.871684,0.862119,0.003216,0.066550,0.965060,0.996303,0.999962,0.544128,0.804932
107,1605,50414.00,50.4140,0.873757,0.873757,0.871785,0.859857,0.003773,0.066550,0.965060,0.996303,0.999962,0.544128,0.804932
108,1620,50875.00,50.8750,0.873757,0.873757,0.872887,0.863908,0.002447,0.066550,0.965060,0.996303,0.999962,0.544128,0.804932
109,1635,51365.00,51.3650,0.873757,0.873757,0.870852,0.857607,0.005638,0.073205,0.965060,0.996303,0.999962,0.544128,0.804932
110,1650,51828.00,51.8280,0.873757,0.873757,0.872672,0.864604,0.002267,0.080526,0.965060,0.996303,0.999962,0.544128,0.804932
111,1665,52293.00,52.2930,0.873757,0.873757,0.871759,0.860015,0.003491,0.088578,0.965060,0.996303,0.999962,0.544128,0.804932
112,1680,52764.00,52.7640,0.873757,0.873757,0.869451,0.849310,0.007375,0.097436,0.965060,0.996303,0.999962,0.544128,0.804932
113,1695,53231.00,53.2310,0.873757,0.873757,0.872443,0.864680,0.002360,0.107179,0.965060,0.996303,0.999962,0.544128,0.804932
114,1710,53702.00,53.7020,0.873757,0.873757,0.871657,0.862120,0.003610,0.117897,0.965060,0.996303,0.999962,0.544128,0.804932
115,1725,54207.00,54.2070,0.873757,0.873757,0.870050,0.840573,0.008463,0.129687,0.965060,0.996303,0.999962,0.544128,0.804932
116,1740,54685.00,54.6850,0.873757,0.873757,0.868456,0.846983,0.008289,0.142656,0.965060,0.996303,0.999962,0.544128,0.804932
117,1755,55155.00,55.1550,0.874486,0.874486,0.870975,0.855019,0.004807,0.142656,0.959205,0.996461,0.993990,0.562500,0.804932
118,1770,55633.00,55.6330,0.877132,0.877132,0.869913,0.846077,0.008703,0.142656,0.960425,0.996467,0.999454,0.565247,0.804932
119,1785,56112.00,56.1120,0.881190,0.881190,0.871622,0.849055,0.008338,0.142656,0.968210,0.996594,0.998486,0.581299,0.804932
120,1800,56581.00,56.5810,0.881248,0.881248,0.876925,0.861883,0.005188,0.142656,0.954854,0.996664,0.999742,0.589355,0.804932
121,1815,57055.00,57.0550,0.882107,0.882107,0.876261,0.845132,0.009925,0.142656,0.955242,0.996737,0.996872,0.598328,0.804932
122,1830,57527.00,57.5270,0.887262,0.887262,0.880835,0.863433,0.005167,0.142656,0.952887,0.996966,0.999136,0.630615,0.793091
123,1845,58031.00,58.0310,0.889847,0.889847,0.885064,0.876933,0.003004,0.142656,0.965879,0.996883,0.999193,0.624878,0.804932
124,1860,58507.00,58.5070,0.894373,0.894373,0.885749,0.851289,0.009941,0.142656,0.969668,0.996988,0.999887,0.643372,0.804932
125,1875,58982.00,58.9820,0.895167,0.895167,0.890713,0.881033,0.003963,0.142656,0.976336,0.997027,0.994328,0.652039,0.804932
126,1890,59456.00,59.4560,0.896024,0.896024,0.892041,0.876300,0.004923,0.142656,0.973662,0.997028,0.996006,0.655396,0.804932
127,1905,59929.00,59.9290,0.901593,0.901593,0.890324,0.865444,0.010863,0.142656,0.958574,0.997300,0.998039,0.690796,0.804932
128,1920,60399.00,60.3990,0.901593,0.901593,0.893697,0.865683,0.009952,0.142656,0.958574,0.997300,0.998039,0.690796,0.804932
129,1935,60878.00,60.8780,0.903555,0.903555,0.896450,0.872620,0.007895,0.142656,0.963389,0.997351,0.990326,0.710449,0.804932
130,1950,61348.00,61.3480,0.905257,0.905257,0.900076,0.882700,0.005692,0.142656,0.964644,0.997327,0.999929,0.701233,0.804932
131,1965,61819.00,61.8190,0.905921,0.905921,0.900810,0.880796,0.006760,0.142656,0.962734,0.997347,0.999602,0.706543,0.804932
132,1980,62293.00,62.2930,0.906254,0.906254,0.903414,0.894409,0.003257,0.142656,0.963275,0.997324,0.999809,0.707458,0.804932
133,1995,62822.00,62.8220,0.906254,0.906254,0.900510,0.879003,0.007965,0.142656,0.963275,0.997324,0.999809,0.707458,0.804932
134,2010,63293.00,63.2930,0.906254,0.906254,0.902764,0.890704,0.004191,0.142656,0.963275,0.997324,0.999809,0.707458,0.804932
135,2025,63765.00,63.7650,0.906266,0.906266,0.902013,0.881675,0.006519,0.142656,0.963275,0.997324,0.999806,0.707520,0.804932
136,2040,64239.00,64.2390,0.906266,0.906266,0.902823,0.888357,0.005768,0.142656,0.963275,0.997324,0.999806,0.707520,0.804932
137,2055,64722.00,64.7220,0.906535,0.906535,0.901882,0.884797,0.006568,0.142656,0.963264,0.997345,0.997432,0.713013,0.804932
138,2070,65231.00,65.2310,0.907998,0.907998,0.904152,0.891618,0.004103,0.142656,0.963450,0.997330,0.999446,0.716675,0.804932
139,2085,65711.00,65.7110,0.908943,0.908943,0.903167,0.886212,0.006277,0.142656,0.956903,0.997385,0.998093,0.728638,0.804932
140,2100,66192.00,66.1920,0.909049,0.909049,0.904589,0.889977,0.005445,0.142656,0.959046,0.997383,0.997444,0.728699,0.804932
141,2115,66671.00,66.6710,0.909308,0.909308,0.902978,0.881489,0.008210,0.142656,0.962103,0.997369,0.997368,0.727844,0.804932
142,2130,67164.00,67.1640,0.910715,0.910715,0.907276,0.888690,0.005158,0.142656,0.960659,0.997405,0.999269,0.732605,0.804932
143,2145,67640.00,67.6400,0.911225,0.911225,0.908120,0.896311,0.003791,0.142656,0.961117,0.997420,0.999688,0.734070,0.804932
144,2160,68112.00,68.1120,0.911225,0.911225,0.905846,0.893512,0.005982,0.142656,0.961117,0.997420,0.999688,0.734070,0.804932
145,2175,68584.00,68.5840,0.911225,0.911225,0.906506,0.891849,0.005820,0.142656,0.961117,0.997420,0.999688,0.734070,0.804932
146,2190,69057.00,69.0570,0.911914,0.911914,0.907816,0.897401,0.004608,0.142656,0.959189,0.997362,0.983152,0.767944,0.804932
147,2205,69528.00,69.5280,0.912045,0.912045,0.904823,0.883753,0.010157,0.142656,0.961120,0.997439,0.999004,0.739075,0.805298
148,2220,70000.00,70.0000,0.912826,0.912826,0.905414,0.885564,0.008667,0.142656,0.962264,0.997482,0.998704,0.741882,0.806274
149,2235,70481.00,70.4810,0.912826,0.912826,0.909445,0.900099,0.003740,0.142656,0.962264,0.997482,0.998704,0.741882,0.806274
150,2250,70956.00,70.9560,0.913545,0.913545,0.908970,0.893235,0.005824,0.142656,0.962027,0.997481,0.999360,0.744324,0.806519
