# base_algorithm,wood
# population_size,15
# initial_mutation_rate,0.15
# max_iterations,150
# output_size,256
# generations_completed,150
# total_evaluations,2250
# runtime_s,78.454
# final_best_fitness,0.900307
generation,cumulative_evaluations,elapsed_ms,elapsed_s,best_fitness,best_ever_fitness,mean_fitness,worst_fitness,std_fitness,mutation_rate,best_comp_mean,best_comp_variance,best_comp_gradient_dir,best_comp_edge_density,best_comp_histogram
92,1380,48057.00,48.0570,0.894419,0.894419,0.887219,0.859579,0.008734,0.150000,0.954502,0.997141,0.999501,0.656509,0.803635
93,1395,48579.00,48.5790,0.894419,0.894419,0.889635,0.868062,0.006509,0.150000,0.954502,0.997141,0.999501,0.656509,0.803635
94,1410,49104.00,49.1040,0.894419,0.894419,0.886817,0.850313,0.012458,0.150000,0.954502,0.997141,0.999501,0.656509,0.803635
95,1425,49620.00,49.6200,0.894419,0.894419,0.890239,0.862824,0.007511,0.165000,0.954502,0.997141,0.999501,0.656509,0.803635
96,1440,50144.00,50.1440,0.894419,0.894419,0.888647,0.863830,0.007629,0.181500,0.954502,0.997141,0.999501,0.656509,0.803635
97,1455,50667.00,50.6670,0.894419,0.894419,0.884899,0.859511,0.009868,0.199650,0.954502,0.997141,0.999501,0.656509,0.803635
98,1470,51188.00,51.1880,0.894419,0.894419,0.888063,0.875618,0.006130,0.219615,0.954502,0.997141,0.999501,0.656509,0.803635
99,1485,51705.00,51.7050,0.894419,0.894419,0.887184,0.867750,0.008044,0.241577,0.954502,0.997141,0.999501,0.656509,0.803635
100,1500,52231.00,52.2310,0.894419,0.894419,0.885363,0.863036,0.009683,0.265734,0.954502,0.997141,0.999501,0.656509,0.803635
101,1515,52744.00,52.7440,0.894419,0.894419,0.883674,0.863796,0.009544,0.292308,0.954502,0.997141,0.999501,0.656509,0.803635
102,1530,53258.00,53.2580,0.894419,0.894419,0.883728,0.862166,0.009043,0.321538,0.954502,0.997141,0.999501,0.656509,0.803635
103,1545,53771.00,53.7710,0.894419,0.894419,0.883010,0.851500,0.012747,0.353692,0.954502,0.997141,0.999501,0.656509,0.803635
104,1560,54285.00,54.2850,0.894419,0.894419,0.882167,0.854323,0.011194,0.389061,0.954502,0.997141,0.999501,0.656509,0.803635
105,1575,54802.00,54.8020,0.894419,0.894419,0.879884,0.858033,0.011378,0.427968,0.954502,0.997141,0.999501,0.656509,0.803635
106,1590,55351.00,55.3510,0.894419,0.894419,0.880695,0.843678,0.015190,0.470764,0.954502,0.997141,0.999501,0.656509,0.803635
107,1605,55874.00,55.8740,0.894419,0.894419,0.876332,0.851513,0.013311,0.500000,0.954502,0.997141,0.999501,0.656509,0.803635
108,1620,56391.00,56.3910,0.894419,0.894419,0.880689,0.861733,0.009696,0.500000,0.954502,0.997141,0.999501,0.656509,0.803635
109,1635,56915.00,56.9150,0.894419,0.894419,0.878528,0.843020,0.013546,0.500000,0.954502,0.997141,0.999501,0.656509,0.803635
110,1650,57433.00,57.4330,0.894419,0.894419,0.881141,0.857483,0.009799,0.500000,0.954502,0.997141,0.999501,0.656509,0.803635
111,1665,57958.00,57.9580,0.894419,0.894419,0.878711,0.843548,0.014905,0.500000,0.954502,0.997141,0.999501,0.656509,0.803635
112,1680,58498.00,58.4980,0.894419,0.894419,0.874868,0.851553,0.013552,0.500000,0.954502,0.997141,0.999501,0.656509,0.803635
113,1695,59011.00,59.0110,0.894419,0.894419,0.883252,0.864904,0.009432,0.500000,0.954502,0.997141,0.999501,0.656509,0.803635
114,1710,59534.00,59.5340,0.894419,0.894419,0.883134,0.856062,0.009791,0.500000,0.954502,0.997141,0.999501,0.656509,0.803635
115,1725,60052.00,60.0520,0.894419,0.894419,0.883215,0.857202,0.008992,0.500000,0.954502,0.997141,0.999501,0.656509,0.803635
116,1740,60567.00,60.5670,0.894419,0.894419,0.881532,0.853467,0.011134,0.500000,0.954502,0.997141,0.999501,0.656509,0.803635
117,1755,61088.00,61.0880,0.894419,0.894419,0.877871,0.847141,0.013727,0.500000,0.954502,0.997141,0.999501,0.656509,0.803635
118,1770,61604.00,61.6040,0.894419,0.894419,0.882268,0.841677,0.013519,0.500000,0.954502,0.997141,0.999501,0.656509,0.803635
